order,slot_id,name,variant_count,mission_ids,level,score,primary_service,family,red,yellow,green
19,16,Caravan fire,1,16,1,3.84,fire,fire,assets/icons/red/0019--16--caravan-fire.png,assets/icons/yellow/0019--16--caravan-fire.png,assets/icons/green/0019--16--caravan-fire.png
20,17,Postbox on fire,1,17,1,2.02,fire,fire,assets/icons/red/0020--17--postbox-on-fire.png,assets/icons/yellow/0020--17--postbox-on-fire.png,assets/icons/green/0020--17--postbox-on-fire.png
21,18,Out of control bonfire,1,18,1,2.47,fire,fire,assets/icons/red/0021--18--out-of-control-bonfire.png,assets/icons/yellow/0021--18--out-of-control-bonfire.png,assets/icons/green/0021--18--out-of-control-bonfire.png
22,19,Burning trailer,1,19,1,2.42,fire,rail,assets/icons/red/0022--19--burning-trailer.png,assets/icons/yellow/0022--19--burning-trailer.png,assets/icons/green/0022--19--burning-trailer.png
23,20,Basement fire,1,20,3,14.94,fire,fire,assets/icons/red/0023--20--basement-fire.png,assets/icons/yellow/0023--20--basement-fire.png,assets/icons/green/0023--20--basement-fire.png
24,21,Chimney fire,1,21,2,6.72,fire,fire,assets/icons/red/0024--21--chimney-fire.png,assets/icons/yellow/0024--21--chimney-fire.png,assets/icons/green/0024--21--chimney-fire.png
25,22,Roof fire,1,22,2,9.19,fire,fire,assets/icons/red/0025--22--roof-fire.png,assets/icons/yellow/0025--22--roof-fire.png,assets/icons/green/0025--22--roof-fire.png
26,23,Grease Fire,1,23,1,2.92,fire,fire,assets/icons/red/0026--23--grease-fire.png,assets/icons/yellow/0026--23--grease-fire.png,assets/icons/green/0026--23--grease-fire.png
27,24,Burning bus shelter,1,24,1,2.67,fire,fire,assets/icons/red/0027--24--burning-bus-shelter.png,assets/icons/yellow/0027--24--burning-bus-shelter.png,assets/icons/green/0027--24--burning-bus-shelter.png
28,25,Road accident,2,25 25/a,3,10.22,fire,collision,assets/icons/red/0028--25--road-accident.png,assets/icons/yellow/0028--25--road-accident.png,assets/icons/green/0028--25--road-accident.png
29,26,Small Supermarket Fire,1,26,3,16.96,fire,fire,assets/icons/red/0029--26--small-supermarket-fire.png,assets/icons/yellow/0029--26--small-supermarket-fire.png,assets/icons/green/0029--26--small-supermarket-fire.png
30,27,Garage fire,1,27,1,4.08,fire,fire,assets/icons/red/0030--27--garage-fire.png,assets/icons/yellow/0030--27--garage-fire.png,assets/icons/green/0030--27--garage-fire.png
31,28,Burning machine,1,28,3,11.37,fire,fire,assets/icons/red/0031--28--burning-machine.png,assets/icons/yellow/0031--28--burning-machine.png,assets/icons/green/0031--28--burning-machine.png
32,29,Unknown Tanker Spill,1,29,4,26.53,fire,hazmat,assets/icons/red/0032--29--unknown-tanker-spill.png,assets/icons/yellow/0032--29--unknown-tanker-spill.png,assets/icons/green/0032--29--unknown-tanker-spill.png
33,30,Fuel spill from car,1,30,1,3.76,fire,hazmat,assets/icons/red/0033--30--fuel-spill-from-car.png,assets/icons/yellow/0033--30--fuel-spill-from-car.png,assets/icons/green/0033--30--fuel-spill-from-car.png
34,31,Fireplace fire,1,31,2,6.66,fire,fire,assets/icons/red/0034--31--fireplace-fire.png,assets/icons/yellow/0034--31--fireplace-fire.png,assets/icons/green/0034--31--fireplace-fire.png
35,32,Harvester fire,1,32,1,3.92,fire,fire,assets/icons/red/0035--32--harvester-fire.png,assets/icons/yellow/0035--32--harvester-fire.png,assets/icons/green/0035--32--harvester-fire.png
36,33,Small Supermarket Fire,1,33,3,15.31,fire,fire,assets/icons/red/0036--33--small-supermarket-fire.png,assets/icons/yellow/0036--33--small-supermarket-fire.png,assets/icons/green/0036--33--small-supermarket-fire.png
37,34,Fire in Hospital - Major Incident,4,34 34-0 34-1 34-2,5,80.14,fire,fire,assets/icons/red/0037--34--fire-in-hospital-major-incident.png,assets/icons/yellow/0037--34--fire-in-hospital-major-incident.png,assets/icons/green/0037--34--fire-in-hospital-major-incident.png
38,35,Alcoholic intoxication,1,35,1,2.42,ambulance,medical,assets/icons/red/0038--35--alcoholic-intoxication.png,assets/icons/yellow/0038--35--alcoholic-intoxication.png,assets/icons/green/0038--35--alcoholic-intoxication.png
39,36,Chest Pains,1,36,2,4.99,ambulance,cardiac,assets/icons/red/0039--36--chest-pains.png,assets/icons/yellow/0039--36--chest-pains.png,assets/icons/green/0039--36--chest-pains.png
40,37,Acute asthma,1,37,2,4.94,ambulance,medical,assets/icons/red/0040--37--acute-asthma.png,assets/icons/yellow/0040--37--acute-asthma.png,assets/icons/green/0040--37--acute-asthma.png
41,38,Seizure,1,38,3,11.47,ambulance,medical,assets/icons/red/0041--38--seizure.png,assets/icons/yellow/0041--38--seizure.png,assets/icons/green/0041--38--seizure.png
42,39,Fever,1,39,2,4.97,ambulance,medical,assets/icons/red/0042--39--fever.png,assets/icons/yellow/0042--39--fever.png,assets/icons/green/0042--39--fever.png
43,40,Fallen person,1,40,2,4.92,ambulance,medical,assets/icons/red/0043--40--fallen-person.png,assets/icons/yellow/0043--40--fallen-person.png,assets/icons/green/0043--40--fallen-person.png
44,41,Car workshop fire - persons reported,8,41 41/a 41/b 41/c 41/ab 41/ac 41/bc 41/abc,5,52.26,fire,fire,assets/icons/red/0044--41--car-workshop-fire-persons-reported.png,assets/icons/yellow/0044--41--car-workshop-fire-persons-reported.png,assets/icons/green/0044--41--car-workshop-fire-persons-reported.png
45,42,Fallen person,1,42,1,2.42,ambulance,medical,assets/icons/red/0045--42--fallen-person.png,assets/icons/yellow/0045--42--fallen-person.png,assets/icons/green/0045--42--fallen-person.png
46,43,Fallen person,1,43,1,0.92,ambulance,medical,assets/icons/red/0046--43--fallen-person.png,assets/icons/yellow/0046--43--fallen-person.png,assets/icons/green/0046--43--fallen-person.png
47,44,Shoplifting,1,44,1,1.56,police,crime,assets/icons/red/0047--44--shoplifting.png,assets/icons/yellow/0047--44--shoplifting.png,assets/icons/green/0047--44--shoplifting.png
48,45,Shoplifting,1,45,1,1.56,police,crime,assets/icons/red/0048--45--shoplifting.png,assets/icons/yellow/0048--45--shoplifting.png,assets/icons/green/0048--45--shoplifting.png
49,46,Parked car accident,2,46 46/a,1,2.14,police,police,assets/icons/red/0049--46--parked-car-accident.png,assets/icons/yellow/0049--46--parked-car-accident.png,assets/icons/green/0049--46--parked-car-accident.png
50,47,Parked car accident,2,47 47/a,1,2.14,police,police,assets/icons/red/0050--47--parked-car-accident.png,assets/icons/yellow/0050--47--parked-car-accident.png,assets/icons/green/0050--47--parked-car-accident.png
51,48,Metal burglary,1,48,1,1.68,police,crime,assets/icons/red/0051--48--metal-burglary.png,assets/icons/yellow/0051--48--metal-burglary.png,assets/icons/green/0051--48--metal-burglary.png
52,49,Pickpocketing,1,49,1,1.68,police,police,assets/icons/red/0052--49--pickpocketing.png,assets/icons/yellow/0052--49--pickpocketing.png,assets/icons/green/0052--49--pickpocketing.png
53,50,Fare dodger,2,50 50/a,1,2.83,police,police,assets/icons/red/0053--50--fare-dodger.png,assets/icons/yellow/0053--50--fare-dodger.png,assets/icons/green/0053--50--fare-dodger.png
54,51,Fare dodger,0,,1,0.0,mixed,response,assets/icons/red/0054--51--fare-dodger.png,assets/icons/yellow/0054--51--fare-dodger.png,assets/icons/green/0054--51--fare-dodger.png
55,52,Fare dodger,0,,1,0.0,mixed,response,assets/icons/red/0055--52--fare-dodger.png,assets/icons/yellow/0055--52--fare-dodger.png,assets/icons/green/0055--52--fare-dodger.png
56,53,Fare dodger,0,,1,0.0,mixed,response,assets/icons/red/0056--53--fare-dodger.png,assets/icons/yellow/0056--53--fare-dodger.png,assets/icons/green/0056--53--fare-dodger.png
57,54,Parked car accident,2,54 54/a,1,2.14,police,police,assets/icons/red/0057--54--parked-car-accident.png,assets/icons/yellow/0057--54--parked-car-accident.png,assets/icons/green/0057--54--parked-car-accident.png
58,55,Fight in Progress,1,55,2,9.78,police,crowd,assets/icons/red/0058--55--fight-in-progress.png,assets/icons/yellow/0058--55--fight-in-progress.png,assets/icons/green/0058--55--fight-in-progress.png
59,56,Aggressive Person,1,56,1,3.24,police,police,assets/icons/red/0059--56--aggressive-person.png,assets/icons/yellow/0059--56--aggressive-person.png,assets/icons/green/0059--56--aggressive-person.png
60,57,Unannounced demonstration,1,57,3,16.56,police,crowd,assets/icons/red/0060--57--unannounced-demonstration.png,assets/icons/yellow/0060--57--unannounced-demonstration.png,assets/icons/green/0060--57--unannounced-demonstration.png
61,58,Kitchen Fire,1,58,1,3.76,fire,fire,assets/icons/red/0061--58--kitchen-fire.png,assets/icons/yellow/0061--58--kitchen-fire.png,assets/icons/green/0061--58--kitchen-fire.png
62,59,Animal Rescue,1,59,2,6.32,fire,animal,assets/icons/red/0062--59--animal-rescue.png,assets/icons/yellow/0062--59--animal-rescue.png,assets/icons/green/0062--59--animal-rescue.png
63,60,Sports hall fire,1,60,3,18.96,fire,fire,assets/icons/red/0063--60--sports-hall-fire.png,assets/icons/yellow/0063--60--sports-hall-fire.png,assets/icons/green/0063--60--sports-hall-fire.png
64,61,Light Aircraft Crash (Airfield),0,,4,5.0,mixed,aircraft,assets/icons/red/0064--61--light-aircraft-crash-airfield.png,assets/icons/yellow/0064--61--light-aircraft-crash-airfield.png,assets/icons/green/0064--61--light-aircraft-crash-airfield.png
65,62,Noise Complaint,1,62,1,2.11,police,police,assets/icons/red/0065--62--noise-complaint.png,assets/icons/yellow/0065--62--noise-complaint.png,assets/icons/green/0065--62--noise-complaint.png
66,63,Transient Ischemic Attack,1,63,2,4.96,ambulance,medical,assets/icons/red/0066--63--transient-ischemic-attack.png,assets/icons/yellow/0066--63--transient-ischemic-attack.png,assets/icons/green/0066--63--transient-ischemic-attack.png
67,64,Accident Involving a Bus,2,64 64/a,3,16.39,fire,fire,assets/icons/red/0067--64--accident-involving-a-bus.png,assets/icons/yellow/0067--64--accident-involving-a-bus.png,assets/icons/green/0067--64--accident-involving-a-bus.png
68,65,Kitchen Fire,1,65,1,3.76,fire,fire,assets/icons/red/0068--65--kitchen-fire.png,assets/icons/yellow/0068--65--kitchen-fire.png,assets/icons/green/0068--65--kitchen-fire.png
69,66,Room fire,0,,2,0.0,mixed,fire,assets/icons/red/0069--66--room-fire.png,assets/icons/yellow/0069--66--room-fire.png,assets/icons/green/0069--66--room-fire.png
70,67,Brawl,1,67,2,9.78,police,crowd,assets/icons/red/0070--67--brawl.png,assets/icons/yellow/0070--67--brawl.png,assets/icons/green/0070--67--brawl.png
71,68,Big Supermarket Fire,1,68,4,30.52,fire,fire,assets/icons/red/0071--68--big-supermarket-fire.png,assets/icons/yellow/0071--68--big-supermarket-fire.png,assets/icons/green/0071--68--big-supermarket-fire.png
72,69,Unknown Tanker Spill,1,69,4,24.26,fire,hazmat,assets/icons/red/0072--69--unknown-tanker-spill.png,assets/icons/yellow/0072--69--unknown-tanker-spill.png,assets/icons/green/0072--69--unknown-tanker-spill.png
73,70,Big Supermarket Fire,0,,3,0.0,mixed,fire,assets/icons/red/0073--70--big-supermarket-fire.png,assets/icons/yellow/0073--70--big-supermarket-fire.png,assets/icons/green/0073--70--big-supermarket-fire.png
74,71,Nosebleed,1,71,2,4.92,ambulance,medical,assets/icons/red/0074--71--nosebleed.png,assets/icons/yellow/0074--71--nosebleed.png,assets/icons/green/0074--71--nosebleed.png
75,72,Light Aircraft Crash,2,72 72/a,4,38.16,fire,aircraft,assets/icons/red/0075--72--light-aircraft-crash.png,assets/icons/yellow/0075--72--light-aircraft-crash.png,assets/icons/green/0075--72--light-aircraft-crash.png
76,73,Serious Accident Involving a Bus,4,73 73/a 73/b 73/ab,4,34.1,fire,fire,assets/icons/red/0076--73--serious-accident-involving-a-bus.png,assets/icons/yellow/0076--73--serious-accident-involving-a-bus.png,assets/icons/green/0076--73--serious-accident-involving-a-bus.png
77,74,Major fire,1,74,4,41.44,fire,fire,assets/icons/red/0077--74--major-fire.png,assets/icons/yellow/0077--74--major-fire.png,assets/icons/green/0077--74--major-fire.png
78,75,Partial Building Collapse,2,75 75/a,4,37.76,fire,collapse,assets/icons/red/0078--75--partial-building-collapse.png,assets/icons/yellow/0078--75--partial-building-collapse.png,assets/icons/green/0078--75--partial-building-collapse.png
79,76,Industrial Fire,2,76 76/a,4,31.49,fire,fire,assets/icons/red/0079--76--industrial-fire.png,assets/icons/yellow/0079--76--industrial-fire.png,assets/icons/green/0079--76--industrial-fire.png
80,77,Patient Transfer,1,77,1,0.4,ambulance,medical,assets/icons/red/0080--77--patient-transfer.png,assets/icons/yellow/0080--77--patient-transfer.png,assets/icons/green/0080--77--patient-transfer.png
81,78,Cardiac Arrest,1,78,3,11.48,ambulance,cardiac,assets/icons/red/0081--78--cardiac-arrest.png,assets/icons/yellow/0081--78--cardiac-arrest.png,assets/icons/green/0081--78--cardiac-arrest.png
82,79,Respiratory Arrest,1,79,3,11.58,ambulance,cardiac,assets/icons/red/0082--79--respiratory-arrest.png,assets/icons/yellow/0082--79--respiratory-arrest.png,assets/icons/green/0082--79--respiratory-arrest.png
83,80,Burning bogle,1,80,1,2.04,fire,fire,assets/icons/red/0083--80--burning-bogle.png,assets/icons/yellow/0083--80--burning-bogle.png,assets/icons/green/0083--80--burning-bogle.png
84,81,Burning pumpkin field,1,81,1,3.62,fire,fire,assets/icons/red/0084--81--burning-pumpkin-field.png,assets/icons/yellow/0084--81--burning-pumpkin-field.png,assets/icons/green/0084--81--burning-pumpkin-field.png
85,82,Pumpkin soup overcooked,1,82,2,8.78,fire,fire,assets/icons/red/0085--82--pumpkin-soup-overcooked.png,assets/icons/yellow/0085--82--pumpkin-soup-overcooked.png,assets/icons/green/0085--82--pumpkin-soup-overcooked.png
86,83,Witch in tree,1,83,2,9.04,fire,fire,assets/icons/red/0086--83--witch-in-tree.png,assets/icons/yellow/0086--83--witch-in-tree.png,assets/icons/green/0086--83--witch-in-tree.png
87,84,Zombie bite,1,84,2,4.98,ambulance,medical,assets/icons/red/0087--84--zombie-bite.png,assets/icons/yellow/0087--84--zombie-bite.png,assets/icons/green/0087--84--zombie-bite.png
88,85,Monster broke loose,1,85,2,6.22,police,police,assets/icons/red/0088--85--monster-broke-loose.png,assets/icons/yellow/0088--85--monster-broke-loose.png,assets/icons/green/0088--85--monster-broke-loose.png
89,86,Pumpkin stolen,1,86,1,1.56,police,crime,assets/icons/red/0089--86--pumpkin-stolen.png,assets/icons/yellow/0089--86--pumpkin-stolen.png,assets/icons/green/0089--86--pumpkin-stolen.png
90,87,Frankenstein sighted,1,87,2,4.3,police,police,assets/icons/red/0090--87--frankenstein-sighted.png,assets/icons/yellow/0090--87--frankenstein-sighted.png,assets/icons/green/0090--87--frankenstein-sighted.png
91,88,Candy theft,1,88,1,1.56,police,crime,assets/icons/red/0091--88--candy-theft.png,assets/icons/yellow/0091--88--candy-theft.png,assets/icons/green/0091--88--candy-theft.png
92,89,Road Traffic Collision (Major),2,89 89/a,5,77.33,fire,collision,assets/icons/red/0092--89--road-traffic-collision-major.png,assets/icons/yellow/0092--89--road-traffic-collision-major.png,assets/icons/green/0092--89--road-traffic-collision-major.png
93,90,Cyclist hit by HGV,1,90,4,28.37,fire,collision,assets/icons/red/0093--90--cyclist-hit-by-hgv.png,assets/icons/yellow/0093--90--cyclist-hit-by-hgv.png,assets/icons/green/0093--90--cyclist-hit-by-hgv.png
94,91,Fail to stop,1,91,3,15.24,police,police,assets/icons/red/0094--91--fail-to-stop.png,assets/icons/yellow/0094--91--fail-to-stop.png,assets/icons/green/0094--91--fail-to-stop.png
95,92,Person with a weapon,1,92,3,11.78,police,crime,assets/icons/red/0095--92--person-with-a-weapon.png,assets/icons/yellow/0095--92--person-with-a-weapon.png,assets/icons/green/0095--92--person-with-a-weapon.png
96,93,High-Risk Warrant,1,93,2,7.92,police,crime,assets/icons/red/0096--93--high-risk-warrant.png,assets/icons/yellow/0096--93--high-risk-warrant.png,assets/icons/green/0096--93--high-risk-warrant.png
97,94,School fire,1,94,4,24.37,fire,fire,assets/icons/red/0097--94--school-fire.png,assets/icons/yellow/0097--94--school-fire.png,assets/icons/green/0097--94--school-fire.png
98,95,Theft at christmas market,1,95,1,1.96,police,crime,assets/icons/red/0098--95--theft-at-christmas-market.png,assets/icons/yellow/0098--95--theft-at-christmas-market.png,assets/icons/green/0098--95--theft-at-christmas-market.png
99,96,Burning christmas market stall,1,96,2,9.58,fire,fire,assets/icons/red/0099--96--burning-christmas-market-stall.png,assets/icons/yellow/0099--96--burning-christmas-market-stall.png,assets/icons/green/0099--96--burning-christmas-market-stall.png
100,97,Fire at christmas market,1,97,2,9.18,fire,fire,assets/icons/red/0100--97--fire-at-christmas-market.png,assets/icons/yellow/0100--97--fire-at-christmas-market.png,assets/icons/green/0100--97--fire-at-christmas-market.png
101,98,Traffic accident - ice,1,98,3,12.55,fire,weather,assets/icons/red/0101--98--traffic-accident-ice.png,assets/icons/yellow/0101--98--traffic-accident-ice.png,assets/icons/green/0101--98--traffic-accident-ice.png
102,99,Burning christmas tree,1,99,1,2.64,fire,fire,assets/icons/red/0102--99--burning-christmas-tree.png,assets/icons/yellow/0102--99--burning-christmas-tree.png,assets/icons/green/0102--99--burning-christmas-tree.png
103,100,Burning advent wreath,1,100,1,2.57,fire,fire,assets/icons/red/0103--100--burning-advent-wreath.png,assets/icons/yellow/0103--100--burning-advent-wreath.png,assets/icons/green/0103--100--burning-advent-wreath.png
104,101,Brawl at christmas market,1,101,2,8.37,police,crowd,assets/icons/red/0104--101--brawl-at-christmas-market.png,assets/icons/yellow/0104--101--brawl-at-christmas-market.png,assets/icons/green/0104--101--brawl-at-christmas-market.png
105,102,Burning manufacturing machine,2,102 102/a,3,11.59,fire,fire,assets/icons/red/0105--102--burning-manufacturing-machine.png,assets/icons/yellow/0105--102--burning-manufacturing-machine.png,assets/icons/green/0105--102--burning-manufacturing-machine.png
106,103,Burning manufacturing machine,0,,2,0.0,mixed,fire,assets/icons/red/0106--103--burning-manufacturing-machine.png,assets/icons/yellow/0106--103--burning-manufacturing-machine.png,assets/icons/green/0106--103--burning-manufacturing-machine.png
107,104,Burning manufacturing machine,0,,3,0.0,mixed,fire,assets/icons/red/0107--104--burning-manufacturing-machine.png,assets/icons/yellow/0107--104--burning-manufacturing-machine.png,assets/icons/green/0107--104--burning-manufacturing-machine.png
108,105,Concern for welfare,1,105,3,10.73,police,rescue,assets/icons/red/0108--105--concern-for-welfare.png,assets/icons/yellow/0108--105--concern-for-welfare.png,assets/icons/green/0108--105--concern-for-welfare.png
109,106,Hit and Run,2,106 106/a,3,15.02,police,collision,assets/icons/red/0109--106--hit-and-run.png,assets/icons/yellow/0109--106--hit-and-run.png,assets/icons/green/0109--106--hit-and-run.png
110,107,Row of garages on fire,4,107 107/a 107/b 107/ab,3,17.99,fire,fire,assets/icons/red/0110--107--row-of-garages-on-fire.png,assets/icons/yellow/0110--107--row-of-garages-on-fire.png,assets/icons/green/0110--107--row-of-garages-on-fire.png
111,108,Thatched cottage fire,2,108 108/a,4,37.51,fire,fire,assets/icons/red/0111--108--thatched-cottage-fire.png,assets/icons/yellow/0111--108--thatched-cottage-fire.png,assets/icons/green/0111--108--thatched-cottage-fire.png
112,109,Trespasser on railway line,2,109 109/a,2,6.76,police,rail,assets/icons/red/0112--109--trespasser-on-railway-line.png,assets/icons/yellow/0112--109--trespasser-on-railway-line.png,assets/icons/green/0112--109--trespasser-on-railway-line.png
113,110,Trespasser on railway line,0,,2,0.0,mixed,rail,assets/icons/red/0113--110--trespasser-on-railway-line.png,assets/icons/yellow/0113--110--trespasser-on-railway-line.png,assets/icons/green/0113--110--trespasser-on-railway-line.png
114,111,Trespasser on railway line,0,,2,0.0,mixed,rail,assets/icons/red/0114--111--trespasser-on-railway-line.png,assets/icons/yellow/0114--111--trespasser-on-railway-line.png,assets/icons/green/0114--111--trespasser-on-railway-line.png
115,112,Trespasser on railway line,0,,3,0.0,mixed,rail,assets/icons/red/0115--112--trespasser-on-railway-line.png,assets/icons/yellow/0115--112--trespasser-on-railway-line.png,assets/icons/green/0115--112--trespasser-on-railway-line.png
116,113,Car ignited by fireworks,1,113,1,2.57,fire,eod,assets/icons/red/0116--113--car-ignited-by-fireworks.png,assets/icons/yellow/0116--113--car-ignited-by-fireworks.png,assets/icons/green/0116--113--car-ignited-by-fireworks.png
117,114,Rubbish bin ignited by fireworks,1,114,1,2.24,fire,eod,assets/icons/red/0117--114--rubbish-bin-ignited-by-fireworks.png,assets/icons/yellow/0117--114--rubbish-bin-ignited-by-fireworks.png,assets/icons/green/0117--114--rubbish-bin-ignited-by-fireworks.png
118,115,Small field fire caused by fireworks,1,115,1,3.76,fire,eod,assets/icons/red/0118--115--small-field-fire-caused-by-fireworks.png,assets/icons/yellow/0118--115--small-field-fire-caused-by-fireworks.png,assets/icons/green/0118--115--small-field-fire-caused-by-fireworks.png
119,116,Basement fire caused by fireworks,1,116,3,14.94,fire,eod,assets/icons/red/0119--116--basement-fire-caused-by-fireworks.png,assets/icons/yellow/0119--116--basement-fire-caused-by-fireworks.png,assets/icons/green/0119--116--basement-fire-caused-by-fireworks.png
120,117,Burning Bus shelter ignited by fireworks,1,117,1,2.67,fire,eod,assets/icons/red/0120--117--burning-bus-shelter-ignited-by-fireworks.png,assets/icons/yellow/0120--117--burning-bus-shelter-ignited-by-fireworks.png,assets/icons/green/0120--117--burning-bus-shelter-ignited-by-fireworks.png
121,118,Fire on balcony caused by fireworks,1,118,2,7.78,fire,eod,assets/icons/red/0121--118--fire-on-balcony-caused-by-fireworks.png,assets/icons/yellow/0121--118--fire-on-balcony-caused-by-fireworks.png,assets/icons/green/0121--118--fire-on-balcony-caused-by-fireworks.png
122,119,Clothes Recycling Bin ignited by fireworks,1,119,1,2.57,fire,eod,assets/icons/red/0122--119--clothes-recycling-bin-ignited-by-fireworks.png,assets/icons/yellow/0122--119--clothes-recycling-bin-ignited-by-fireworks.png,assets/icons/green/0122--119--clothes-recycling-bin-ignited-by-fireworks.png
123,120,Burning hedge ignited by firecracker,1,120,1,2.36,fire,fire,assets/icons/red/0123--120--burning-hedge-ignited-by-firecracker.png,assets/icons/yellow/0123--120--burning-hedge-ignited-by-firecracker.png,assets/icons/green/0123--120--burning-hedge-ignited-by-firecracker.png
124,121,Drunk driver after New Year's Eve party,1,121,1,2.24,police,marine,assets/icons/red/0124--121--drunk-driver-after-new-year-s-eve-party.png,assets/icons/yellow/0124--121--drunk-driver-after-new-year-s-eve-party.png,assets/icons/green/0124--121--drunk-driver-after-new-year-s-eve-party.png
125,122,Burning thatched roof house ignited by fireworks,1,122,4,33.62,fire,eod,assets/icons/red/0125--122--burning-thatched-roof-house-ignited-by-fireworks.png,assets/icons/yellow/0125--122--burning-thatched-roof-house-ignited-by-fireworks.png,assets/icons/green/0125--122--burning-thatched-roof-house-ignited-by-fireworks.png
126,123,Car damaged by fireworks,1,123,1,2.11,police,eod,assets/icons/red/0126--123--car-damaged-by-fireworks.png,assets/icons/yellow/0126--123--car-damaged-by-fireworks.png,assets/icons/green/0126--123--car-damaged-by-fireworks.png
127,124,Violation of Explosives Law,1,124,1,2.11,police,eod,assets/icons/red/0127--124--violation-of-explosives-law.png,assets/icons/yellow/0127--124--violation-of-explosives-law.png,assets/icons/green/0127--124--violation-of-explosives-law.png
128,125,Hand injury caused by fireworks,1,125,2,4.97,ambulance,eod,assets/icons/red/0128--125--hand-injury-caused-by-fireworks.png,assets/icons/yellow/0128--125--hand-injury-caused-by-fireworks.png,assets/icons/green/0128--125--hand-injury-caused-by-fireworks.png
129,126,HGV Fire,2,126 126/a,3,16.24,fire,fire,assets/icons/red/0129--126--hgv-fire.png,assets/icons/yellow/0129--126--hgv-fire.png,assets/icons/green/0129--126--hgv-fire.png
130,127,Bin Lorry Fire,1,127,3,14.49,fire,fire,assets/icons/red/0130--127--bin-lorry-fire.png,assets/icons/yellow/0130--127--bin-lorry-fire.png,assets/icons/green/0130--127--bin-lorry-fire.png
131,128,RTC Entrapment,2,128 128/a,3,19.95,fire,collision,assets/icons/red/0131--128--rtc-entrapment.png,assets/icons/yellow/0131--128--rtc-entrapment.png,assets/icons/green/0131--128--rtc-entrapment.png
